duration_normed
162.0
50.0
35.0
25.0
125.0
139.0
21.0
51.0
191.0
102.0
100.0
33.0
20.0
177.0
146.0
70.0
196.0
60.0
60.0
77.0
34.0
46.0
122.0
15.0
68.0
25.0
161.0
154.0
199.0
57.0
94.0
144.0
61.0
62.0
37.0
184.0
184.0
124.0
140.0
133.0
59.0
99.0
80.0
190.0
102.0
196.0
187.0
82.0
70.0
104.0
28.0
133.0
70.0
187.0
16.0
104.0
103.0
67.0
77.0
99.0
59.0
15.0
123.0
105.0
86.0
24.0
30.0
